Drug,%Dead,Date,shP53,shCHK2,shATR,shCHK1,shATX,shDNAPK,shBOK,shBIM
vincristine,68,5/13/2015,1.137300485,0.574590339,0.042367966,-0.333528557,-1.644975307,-0.251930202,-1.806408334,0.576137334
cisplatin,92,12/8/2011,4.273242141,4.387183464,0.457476423,-1.4535375,-1.570418021,0.845668452,-0.253238571,1.312407334
cisplatin,91,5/24/2012,4.874185172,5.061350848,-0.637429921,-2.598518968,-2.072227677,0.342715668,0.326491549,1.153794149
cisplatin,91,2/26/2012,4.840395349,5.55359833,0.161086436,-2.337200533,-1.167924869,0.742503778,-0.981817044,1.822185813
cisplatin,91,3/4/2012,4.565237587,4.826589101,0.033488692,-1.526943708,-2.12747089,0.910005829,-0.606849619,2.65258417
cisplatin,90,5/12/2012,4.374238301,4.317272511,-0.358512576,-2.151208765,-1.478047297,0.65063443,-0.65838357,1.337539562
cisplatin,89,3/17/2012,4.825968674,4.631611101,0.090564078,-1.581447192,-1.097549317,1.028486092,0.20559355,1.537328235
cisplatin,89,11/17/2011,4.454931737,4.790962747,-0.735264376,-1.77565061,-1.616999159,0.963349137,-1.219402379,0.723809437
cisplatin,86,8/15/2012,4.033231753,3.786771381,0.400168942,-1.316793842,-0.867961687,0.406096247,-0.118417139,0.583422994
cisplatin,89,5/9/2012,4.699922975,4.758438207,-0.063563028,-2.023131681,-1.721708564,0.663881695,-0.24292807,1.15944724
cisplatin,89,3/25/2012,3.734853662,4.360742408,-0.071748851,-2.010888316,-1.518715222,0.504918495,-0.627006615,1.471194802
cisplatin,85,3/2/2012,4.260875985,4.456055555,0.518561275,-1.813912503,-0.722572294,0.93764875,-1.085881805,1.55823608
cisplatin,90,5/18/2012,4.527619459,4.638725414,-0.152020583,-1.635173659,-1.399148096,0.560595085,-0.092090192,0.785608249
cisplatin,89,3/23/2012,4.809079603,4.544691882,-0.078546767,-1.928006864,-1.712951545,0.470959129,-0.445262623,1.678212535
cisplatin,88,4/25/2012,3.879780447,3.927993487,-0.524395904,-1.941249055,-1.727754213,0.593773396,-0.327361981,1.436083829
cisplatin,88,3/12/2012,4.173530155,4.264377456,0.256644125,-1.776091346,-1.692250574,0.720238415,-0.191524538,1.337704797
cisplatin,87,4/29/2012,4.108681454,4.262861176,-0.601416706,-2.079004684,-1.572166036,0.548470845,-0.03385386,1.150081544
cisplatin,87,12/8/2011,3.848213181,4.264071246,0.66806157,-1.863586668,-1.987662682,0.83965722,-0.329582991,1.168083347
